Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
69ca5dbf37b30455fb7ff8d3668c632c	Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	1	ASV2982
ed88f34830d0bad64d58ed6cbb2b2fb1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	 g__Agrobacterium	0.994605	ASV2983
930a514cdee49e2857532a71fc2c4744	Cyanobacteria	4C0d-2	YS2	 o__YS2	 o__YS2	 o__YS2	1	ASV2984
1f4d26a9d117e6f398f7756d5c81c149	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	 g__Moraxella	0.9978654	ASV2985
aede942a7b9298c1e0e34ca21a6ed30a	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	 f__Erysipelotrichaceae	 f__Erysipelotrichaceae	0.8165832	ASV2986
0ed9ebd043da7950e00f1fb08683a7db	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 g__Lactobacillus	0.9302535	ASV2987
9719664f05113128fdf925b13811f673	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	 g__Actinomyces	0.9994148	ASV2988
522bfa47bea50d54269c0537470084bc	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.9826626	ASV2989
f1f9db24decb108c2c57f595fa5b9513	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9830804	ASV299
a3c21ee4f12a8b5c3fbed31df0555c5e	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 s__flavefaciens	0.9998847	ASV2990
20caf4027a9dfb2a45e507bcf42c16ee	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	 g__Oscillospira	0.8327873	ASV2991
