OTUs	Phylum	Class	Order	Family	Genus	Species	Confidence
e09026ff6af19e429d354d75a3efc1e7	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9999993
e09ae8ac00bb91cbe47719d5ae8e4ab4	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	Olsenella umbonata	0.8442465
e0a8e73b5a8865ee2777e64b2236e111	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	unclassified_Anaeroplasma	0.9999998
e0aafdbd4fb00ff1652999b6d7306120	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Holdemania	unclassified_Holdemania	1
e0af7226fa7460c5a9a768428d4e8f33	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9278756
e0b2faabb6c0c165e16706cbede9c74a	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	unclassified_Coprobacillus	0.9998021
e0b877a58587d1beca392b7326d425a3	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified_S24-7	unclassified_S24-7	1
e0c06bc1fa7e98bd8263d42aba576883	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9999892
e0cddf8d0b177333aa68f2c4fbb3eceb	Cyanobacteria	4C0d-2	YS2	unclassified_YS2	unclassified_YS2	unclassified_YS2	1
e0d032c5ae55819b1c19f2e07201c3a2	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	RFN20	unclassified_RFN20	0.9999485
e0d84b999b9b1af52797f73190430b59	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	unclassified_Blautia	0.9739173
e0de06db32ab525d814d2688eaef1803	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	unclassified_Ruminococcaceae	0.902361
e0df5147f292994166af3b3e6421909a	Firmicutes	Clostridia	Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	unclassified_Clostridiales	0.9990071
