Phylum	Class	Order	Family	Genus	Species	Confidence	ASVs
Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae	 f__Mogibacteriaceae	 f__Mogibacteriaceae	0.9818452	ef50ce1c5c8349f76487ab8f1e27477f
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	 f__Sphingobacteriaceae	 f__Sphingobacteriaceae	0.9342576	aea48a4aa701163fb81aeeface659db4
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9994657	68bd036fc9418815b50e32e58a564a45
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999999	46bc087f2618caf49cb36f2c45cba4c0
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.99951	1b7fc495ec338b3cad5ccd339b38b3fb
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	 f__Clostridiaceae	 f__Clostridiaceae	0.9865923	d70985a64c561960e6b9bc54f9a56e70
Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Eubacterium	 s__cylindroides	0.9999997	2cba9c54036d2a91653f7d8d201ffbdc
k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	1	5f99515949c988bc9de24516101c2148
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 s__alactolyticus	0.8619802	4acf3cfe8a4ac322074b353bd314c920
Firmicutes	 p__Firmicutes	 p__Firmicutes	 p__Firmicutes	 p__Firmicutes	 p__Firmicutes	0.9998547	ca915d73680ea27f5d774b94a44b4c81
Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	 s__mesenteroides	0.976831	ed841f65cd72792b94ccb398b8eb2fae
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	 f__Phyllobacteriaceae	 f__Phyllobacteriaceae	0.8978597	7dea86b3dd44333d6050ea0473fa6a0c
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enterococcus	 s__casseliflavus	0.9999999	3ee935cccdc35b86ead27830a8f50243
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	 g__Methanocorpusculum	0.8985594	b489c76cfa44e93c9970e6bf629f3690
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9999546	6d9ad0eafe841dc0d64ee9b43e4defb9
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	 g__Clostridium	0.9981738	feecea6fd23f226f51bf45fb8e9f3988
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7539283	6c973ad06fe4fdda32ba3bcc25c71956
Actinobacteria	Actinobacteria	Actinomycetales	Williamsiaceae	Williamsia	 g__Williamsia	0.9999759	7e6651a7ee3825431d181730b8e1d088
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9933394	dbce5e240a2276b497dcadf4eefc30e1
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9484927	97c9669209a5bfb7f470916ac09d495a
Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	 f__S24-7	 f__S24-7	0.9887334	fb73498049817a00d06e2dfd6d213ddd
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	 g__Bacteroides	0.9999929	7ee3db02f04d2e5514259d42b10c6b0f
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9995968	afe52658205c92bc64ddd294550f0cd3
Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	 g__Clostridium	0.9981995	8717c094d463a62334cada950734b370
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9987325	577ffaae70174574585ca271b4dc4304
Actinobacteria	Actinobacteria	Actinomycetales	 o__Actinomycetales	 o__Actinomycetales	 o__Actinomycetales	0.999987	e8c69ff5f4c42716d91ee329241e4651
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999777	9f8a956b61a1c7ac6c0e663c352acc99
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9695603	cab7f1b33d76f5173145fa33348f854f
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	 g__Ruminococcus	0.9839549	1815308fd180b202ba6c8621dc779293
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9900887	0e94ca58ab595041035cc003c2a75f7e
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999986	ec42e5b5326b334262e086635ce95cc7
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.7272594	0933df65b9cbf8be4377240925a6c2ec
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.999999	ac07884dab78ca7c312c4fa38cb96641
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	 g__Shuttleworthia	0.8833206	881a41306fb9c57fadb110dc2ab59821
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9711451	2eff73622df76e2c42966211fcc58141
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9940481	2dcfcc501d00c1b514bc7a3c856a019c
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9950666	11ef34371d19a481132f8c9ed318d6d9
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.7420244	bb96af5f5a4bca8567630d92b77a79a0
k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	k__Bacteria	1	acdb4b1ec10e7e93baa910221d933108
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.7687749	3e191ad75401e96def3101b28a1fa58d
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	 g__Olsenella	0.9230195	1a52afb8dc7dbc4099cc94212de51f7f
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9391608	2879ed80bebf382b60dbb56b832f92fd
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	 s__succinicans	0.9442495	aebe0ad7f5600279a41d635737a39962
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	 s__vaginalis	0.9485726	39f536598ac27f888706675539efa757
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.971904	1f0934eed49ae80345e639c47f17b3b5
Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9676109	b6772e21f8fe487a0db956a9553fd5d7
Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	 f__Coriobacteriaceae	 f__Coriobacteriaceae	0.9993552	c57d448f7d25ccb32f8c037dcffe2691
Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	 f__Succinivibrionaceae	 f__Succinivibrionaceae	1	5104c6b01387f93eee2435547936d539
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	 g__Prevotella	0.9844057	0bad66668212784ddc58d45af6608be8
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9911681	7be532b22453ab453349d7378beddcb1
